"Get %1 off your first order. Use coupon %2","Ganhe %1 de desconto no seu primeiro pedido. Utilize o cupom %2"
"Search entire store here...","Digite aqui o que você procura"
"Create Account", "Teste2"
"original","pt_BR"
"What's New","Novidades"
"Women","Feminino"
"Men","Masculino"
"Gear","Acessórios"
"Training","Treinamento"
"Sale","Promoções"
"Tops","Parte de Cima"
"Bottoms","Parte de Baixo"
"Jackets","Jaquetas"
"Hoodies & Sweatshirts","Moletons e Suéteres"
"Tees","Camisetas"
"Tanks","Regatas"
